Published,ISOWeek,Updated,ID,Version,Title,Categories
2026-04-07T17:59:58Z,15,2026-04-07T17:59:58Z,2604.06170,1,'Paper Circle: An Open-source Multi-agent Research Discovery and Analysis Framework',cs.CL
2026-04-07T17:59:44Z,15,2026-04-07T17:59:44Z,2604.06169,1,'In-Place Test-Time Training',cs.LG;cs.AI;cs.CL;stat.ML
2026-04-07T17:59:30Z,15,2026-04-07T17:59:30Z,2604.06168,1,'Action Images: End-to-End Policy Learning via Multiview Video Generation',cs.CV;cs.RO
2026-04-07T17:59:15Z,15,2026-04-07T17:59:15Z,2604.06167,1,'Topological Characterization of Churn Flow and Unsupervised Correction to the Wu Flow-Regime Map in Small-Diameter Vertical Pipes',cs.LG;math.AT
2026-04-07T17:58:04Z,15,2026-04-07T17:58:04Z,2604.06165,1,'HaloProbe: Bayesian Detection and Mitigation of Object Hallucinations in Vision-Language Models',cs.CV;cs.LG
2026-04-07T17:56:18Z,15,2026-04-07T17:56:18Z,2604.06161,1,'DiffHDR: Re-Exposing LDR Videos with Video Diffusion Models',cs.CV;cs.AI;cs.GR
2026-04-07T17:56:06Z,15,2026-04-07T17:56:06Z,2604.06160,1,'The Character Error Vector: Decomposable errors for page-level OCR evaluation',cs.CV;cs.LG
2026-04-07T17:55:59Z,15,2026-04-07T17:55:59Z,2604.06159,1,'Target Policy Optimization',cs.LG
2026-04-07T17:55:17Z,15,2026-04-07T17:55:17Z,2604.06156,1,'MMEmb-R1: Reasoning-Enhanced Multimodal Embedding with Pair-Aware Selection and Adaptive Control',cs.CV;cs.AI;cs.CL
2026-04-07T17:54:22Z,15,2026-04-07T17:54:22Z,2604.06155,1,'Toward Consistent World Models with Multi-Token Prediction and Latent Semantic Enhancement',cs.LG;cs.AI;cs.CL
2026-04-07T17:54:11Z,15,2026-04-07T17:54:11Z,2604.06154,1,'Exclusive Unlearning',cs.CL
2026-04-07T17:52:32Z,15,2026-04-07T17:52:32Z,2604.06150,1,"'Delta6: A Low-Cost, 6-DOF Force-Sensing Flexible End-Effector'",cs.RO
2026-04-07T17:51:56Z,15,2026-04-07T17:51:56Z,2604.06148,1,'Who Governs the Machine? A Machine Identity Governance Taxonomy (MIGT) for AI Systems Operating Across Enterprise and Geopolitical Boundaries',cs.CR;cs.AI;cs.MA
2026-04-07T17:45:07Z,15,2026-04-07T17:45:07Z,2604.06138,1,'Generating Synthetic Doctor-Patient Conversations for Long-form Audio Summarization',cs.SD;cs.AI
2026-04-07T17:44:37Z,15,2026-04-07T17:44:37Z,2604.06135,1,'Shot-Based Quantum Encoding: A Data-Loading Paradigm for Quantum Neural Networks',quant-ph;cs.AI;cs.LG
2026-04-07T17:43:32Z,15,2026-04-07T17:43:32Z,2604.06133,1,'Learning-Guided Force-Feedback Model Predictive Control with Obstacle Avoidance for Robotic Deburring',cs.RO
